buyer_key,buyer_name,award_count,allocated_value,activity_band,value_band,buyer_segment
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/2yKS4Htu,Platform Housing Group,15,310722853.45,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-50175,Darlington Borough Council,5,309401100.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/5wuN3tuF,PROCURE PLUS HOLDINGS LIMITED,3,308592000.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/88Cu8Eqe,Ashfield Council,8,307168434.81,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-314180,NHS England,2,307037000.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-276782,Procurement for Housing,8,300000000.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-148218,Echelon Consultancy Ltd,1,300000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-309703,East of England NHS Collaborative Procurement Hub,1,300000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-309426,HealthTrust Europe LLP (HTE),1,300000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-51222,Lincolnshire County Council,78,294654195.81,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/Qcy76AyS,HM Government of Gibraltar,12,278068790.89,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-175488,Ministry of Defence,18,272141969.02000004,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-186339,Ministry of Justice,23,271348258.88,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-318974,Department for Work and Pensions,1,265320000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/CkD254kv,"Ministry of Housing, Communities and Local Government",45,262470637.43,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-225434,Environment Agency,291,256749244.24,200+ awards,£100M-<£1B,High activity / High value
ID:GB-CFS-226503,EN Procure Ltd,5,254236355.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-273422,"Department for Environment, Food & Rural Affairs",91,251425334.21,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/2bqz5FZA,NATIONAL GRID UK LIMITED,1,250000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-66347,Nottinghamshire County Council,276,246485985.65,200+ awards,£100M-<£1B,High activity / High value
ID:GB-CFS-306151,Ministry of Defence,1,245434247.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-LAE-WNM,The Royal Borough of Windsor and Maidenhead Council,10,244260085.0,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-85120,Notting Hill Genesis,5,244010523.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-182991,Ministry of Defence,6,243726699.46,2-9 awards,£100M-<£1B,Lower activity / High value
