supplier_key,canonical_supplier_name,allocated_award_value,award_count,buyer_count,supplier_id_count,supplier_identity_flags,identity_review_flags,supplier_rank,value_share,cumulative_value_share,value_band
SUP_ID:GB-COH-03601214,CHARLES NOVACROFT DIRECT LIMITED,194444444.44444445,1,1,1,confirmed_id,no_name_conflict,125,0.0006175752323054,0.6213008366684946,£100M–<£1B
SUP_ID:GB-COH-08460577,SHARED SERVICES CONNECTED LTD,194444444.44444445,1,1,1,confirmed_id,no_name_conflict,126,0.0006175752323054,0.6219184119008,£100M–<£1B
SUP_ID:GB-COH-02060289,TELEPERFORMANCE LIMITED,194444444.44444445,1,1,1,confirmed_id,no_name_conflict,127,0.0006175752323054,0.6225359871331054,£100M–<£1B
SUP_ID:GB-COH-03017799,HINDUJA GLOBAL SOLUTIONS UK LIMITED,194444444.44444445,1,1,1,confirmed_id,no_name_conflict,128,0.0006175752323054,0.6231535623654109,£100M–<£1B
SUP_ID:GB-COH-03450786,Sitel UK Limited,194444444.44444445,1,1,1,confirmed_id,no_name_conflict,129,0.0006175752323054,0.6237711375977163,£100M–<£1B
SUP_ID:GB-COH-2299747,Capita Business Services Ltd,194444444.44444445,1,1,1,confirmed_id,no_name_conflict,130,0.0006175752323054,0.6243887128300217,£100M–<£1B
SUP_ID:GB-COH-03180171,TTEC (UK) SOLUTIONS LIMITED,194444444.44444445,1,1,1,confirmed_id,no_name_conflict,131,0.0006175752323054,0.6250062880623272,£100M–<£1B
SUP_ID:GB-COH-03923307,ARVATO LIMITED,194444444.44444445,1,1,1,confirmed_id,no_name_conflict,132,0.0006175752323054,0.6256238632946326,£100M–<£1B
SUP_ID:GB-COH-06908560,VENTRICA LTD,194444444.44444445,1,1,1,confirmed_id,no_name_conflict,133,0.0006175752323054,0.626241438526938,£100M–<£1B
SUP_ID:GB-COH-07377180,go-centric ltd,194444444.44444445,1,1,1,confirmed_id,no_name_conflict,134,0.0006175752323054,0.6268590137592435,£100M–<£1B
SUP_ID:GB-COH-05548951,THE CONTACT COMPANY LTD,194444444.44444445,1,1,1,confirmed_id,no_name_conflict,135,0.0006175752323054,0.6274765889915489,£100M–<£1B
SUP_ID:GB-COH-07711754,ResQ Limited,194444444.44444445,1,1,1,confirmed_id,no_name_conflict,136,0.0006175752323054,0.6280941642238543,£100M–<£1B
SUP_ID:GB-COH-3122581,NCO EUROPE LIMITED,194444444.44444445,1,1,1,confirmed_id,no_name_conflict,137,0.0006175752323054,0.6287117394561598,£100M–<£1B
SUP_ID:GB-CFS-307954,Eville & Jones (G.B.) Limited,193400000.0,7,7,1,confirmed_id,no_name_conflict,138,0.0006142579710576,0.6293259974272174,£100M–<£1B
SUP_ID:GB-CFS-323910,Version 1 Solutions Limited,193000000.0,1,1,1,confirmed_id,no_name_conflict,139,0.0006129875305797,0.6299389849577971,£100M–<£1B
SUP_ID:GB-COH-02379469,BAM Construction Ltd,192842310.8,10,10,1,id_multiple_names_review,review_name_variation,140,0.0006124866937232,0.6305514716515203,£100M–<£1B
SUP_ID:GB-COH-1070807,Medtronic Limited,190974981.6849817,6,6,1,confirmed_id,no_name_conflict,141,0.00060655586749,0.6311580275190103,£100M–<£1B
SUP_ID:GB-CFS-322513,Bovis Construction (Europe) Limited,189057505.0,1,1,1,confirmed_id,no_name_conflict,142,0.0006004657675,0.6317584932865103,£100M–<£1B
SUP_ID:GB-CFS-175070,Veolia ES (UK) Limited,186716009.0,1,1,1,confirmed_id,no_name_conflict,143,0.000593028939257,0.6323515222257674,£100M–<£1B
SUP_ID:GB-COH-01471587,Vodafone Limited,185231325.88,22,22,1,id_multiple_names_review,review_name_variation,144,0.0005883134354258,0.6329398356611933,£100M–<£1B
SUP_ID:GB-CFS-312873,Airbus Helicopters UK Limited,184000000.0,1,1,1,confirmed_id,no_name_conflict,145,0.0005844026198272,0.6335242382810206,£100M–<£1B
SUP_ID:GB-COH-02465350,CDW Limited,183950728.2837209,61,61,1,id_multiple_names_review,review_name_variation,146,0.0005842461278703,0.6341084844088909,£100M–<£1B
SUP_ID:GB-CFS-305450,Axis Europe PLC,182216218.0,3,3,1,confirmed_id,no_name_conflict,147,0.0005787371476859,0.6346872215565769,£100M–<£1B
SUP_ID:GB-CFS-329105,Multiple Suppliers,180000000.0,1,1,1,confirmed_id,no_name_conflict,148,0.0005716982150484,0.6352589197716253,£100M–<£1B
SUP_ID:GB-COH-01428210,SPECIALIST COMPUTER CENTRES PLC,179072518.05372092,84,84,1,id_multiple_names_review,review_name_variation,149,0.0005687524385307,0.6358276722101561,£100M–<£1B
SUP_ID:GB-COH-00467006,Bovis Construction (Europe) Limited,176607132.26,1,1,1,confirmed_id,no_name_conflict,150,0.0005609221237659,0.636388594333922,£100M–<£1B
